,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
6179,Virginia College-Austin,Austin,78728,,0.403500243,0.351912568
6180,California State University-Channel Islands,Camarillo,93012,,,
6181,ITT Technical Institute-Springfield,Springfield,22153,,0.409836066,0.464135021
6182,ITT Technical Institute-Chantilly,Chantilly,20151,,0.307692308,0.400468384
6183,Argosy University-The Art Institute of California-Orange County,Santa Ana,92704,,0.277310924,0.26993865
6184,Metropolitan Community College-Business & Technology,Kansas City,64120-2429,,0.087790111,0.05588585
6185,Lincoln College of Technology,Henderson,89074-6398,,0.604046243,0.616666667
6186,Lincoln Technical Institute-Northeast Philadelphia,Philadelphia,19116,,0.705802969,0.700468019
6187,Lincoln Technical Institute-Center City Philadelphia,Philadelphia,19104,,0.705802969,0.700468019
6188,Lincoln Technical Institute,Plymouth Meeting,19462,,0.705802969,0.700468019
6189,Lincoln Technical Institute-Paramus,Paramus,07652-5002,,0.705802969,0.700468019
6190,HRDE-Stanley Technical Institute-Hinton,Hinton,25951,,PrivacySuppressed,PrivacySuppressed
6191,Pima Medical Institute-Colorado Springs,Colorado Springs,80909,,0.716346154,0.714285714
6192,University of Phoenix-Kansas City Campus,Kansas City,64131-4504,,0.181212833,0.189403974
6193,University of Phoenix-Atlanta Campus,Sandy Springs,30350-4147,,0.181212833,0.189403974
6194,University of Phoenix-Illinois,Schaumburg,60173-4395,,0.181212833,0.189403974
6195,University of Phoenix-Nashville Campus,Nashville,37214-5048,,0.181212833,0.189403974
6196,University of Phoenix-Northern Virginia Campus,Reston,20190-4750,,0.181212833,0.189403974
6197,David's Academy of Beauty,Pico Rivera,90660,,PrivacySuppressed,PrivacySuppressed
6198,Birthwise Midwifery School,Bridgton,04009-1110,,PrivacySuppressed,PrivacySuppressed
6199,Argosy University-Dallas,Farmers Branch,75244,,0.115519253,0.223463687
6200,Le Cordon Bleu College of Culinary Arts-Orlando,Orlando,32819,,0.46350365,0.43557423
6201,Paul Mitchell the School-Costa Mesa,Costa Mesa,92626,,0.673684211,0.596153846
6202,Ave Maria School of Law,Naples,34119,,,
6203,Everest College-Arlington,Arlington,22203,,0.420776495,0.256055363
6204,Tulsa Welding School-Jacksonville,Jacksonville,32216,,0.392857143,0.658598726
6205,ITT Technical Institute-Canton,Canton,48188-2025,,0.453488372,0.466157205
6206,ITT Technical Institute-Plymouth Meeting,Plymouth Meeting,19462,,0.254716981,0.377733598
