INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Kenneth Shuler School of Cosmetology-Rock Hill,Rock Hill,29730,,PrivacySuppressed,PrivacySuppressed
DeVry College of New York,New York,10016-5267,,0.067664523,0.041789819
DeVry University-Indiana,Indianapolis,46240-2158,,0.920634921,0.844827586
University of Phoenix-Washington,Tukwila,98188-8553,,0.212373743,0.204389384
University of Phoenix-Central Florida Campus,Orlando,32819-9075,,0.212373743,0.204389384
University of Phoenix-Oregon,Tigard,97223-8328,,0.212373743,0.204389384
CET-El Paso,El Paso,79907,,0.52253116,0.454202077
Appalachian School of Law,Grundy,24614-2825,,,
LIU Hudson at Westchester,Purchase,10577,,0.342723005,0.334054054
Platt College-Ontario,Ontario,91764,,0.609137056,0.685446009
Delaware College of Art and Design,Wilmington,19801-3007,,,
Argosy University-The Art Institute of California-Los Angeles,Santa Monica,90405-3035,,0.322549952,0.279661017
American University of Health Sciences,Signal Hill,90755-3612,,0.522727273,0.5
Career Networks Institute,Orange,92868-4710,,0.805882353,0.703125
Monty Tech,Fitchburg,01420,,PrivacySuppressed,PrivacySuppressed
Okaloosa Technical College,Fort Walton Beach,32547,,PrivacySuppressed,PrivacySuppressed
Lincoln Technical Institute-Lincoln,Lincoln,02865,,0.68940754,0.576
Wayne County Schools Career Center,Smithville,44677,,PrivacySuppressed,PrivacySuppressed
Blessing Hospital School of Medical Laboratory Technology,Quincy,62305-7005,,PrivacySuppressed,PrivacySuppressed
Carolinas College of Health Sciences,Charlotte,28203-2861,,0.49137931,0.448275862
Lester E Cox Medical Center-School of Medical Technology,Springfield,65807-5210,,0.388349515,0.407407407
Western Governors University,Salt Lake City,84107,,0.289726534,0.229437229
Santa Barbara Business College-Ventura,Ventura,93003,,0.56122449,0.474576271
Sullivan and Cogliano Training Center,Miami Gardens,33014,,,
Herzing University-Kenner,Kenner,70062,,0.350157729,0.261146497
Spencerian College-Lexington,Lexington,40504,,PrivacySuppressed,PrivacySuppressed
Florida Gulf Coast University,Fort Myers,33965-6565,,0.202492212,0.210843374
Seacoast Career Schools-Sanford Campus,Sanford,04073,,0.600814664,0.511111111
Little Priest Tribal College,Winnebago,68071-0270,,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Richardson,Richardson,75080,,0.29375,0.306738962
South Louisiana Community College,Lafayette,70506-4109,,PrivacySuppressed,PrivacySuppressed
HRDE-Stanley Technical Institute-Parkersburg,Parkersburg,26101,,PrivacySuppressed,PrivacySuppressed
Pima Medical Institute-Chula Vista,Chula Vista,91910,,0.730948297,0.649484536
Lincoln College of Technology-Marietta,Marietta,30067,,0.68940754,0.576
Academy of Hair Design-Lufkin,Lufkin,75904,,PrivacySuppressed,PrivacySuppressed
Academy of Hair Design-Beaumont,Beaumont,77701-4650,,PrivacySuppressed,PrivacySuppressed
Baltimore School of Massage-Linthicum,Linthicum,21090,,0.781767956,0.676056338
Charter College-Canyon Country,Canyon Country,91351,,0.681818182,0.717391304
David Demuth Institute of Cosmetology,Richmond,47374-4101,,PrivacySuppressed,PrivacySuppressed
Toni & Guy Hairdressing Academy-Worcester,Worcester,01605-2213,,PrivacySuppressed,PrivacySuppressed
Northwest HVAC/R Training Center,Spokane,99207,,PrivacySuppressed,PrivacySuppressed
L T International Beauty School,Philadelphia,19130,,PrivacySuppressed,PrivacySuppressed
Michigan Jewish Institute,W Bloomfield,48322-3032,,PrivacySuppressed,PrivacySuppressed
Myotherapy Institute,Lincoln,68506,,PrivacySuppressed,PrivacySuppressed
Florida College of Integrative Medicine,Orlando,32809-5721,,PrivacySuppressed,PrivacySuppressed
New Professions Technical Institute,Miami,33134,,0.226299694,0.152317881
